kerajaan;orang;peran;ayah;ibu;pasangan;anak;namaKerajaan;ibuKota;agama;pendahulu;penerus;tahunMulai;wikidataID;tglLahir;tglMati;saudara;kerabat;dinasti;personWikidataID;orang_PageRank;orang_Louvain_Cluster;kerajaan_PageRank;kerajaan_Louvain_Cluster
Kesultanan Banten;Syifa Zainularifin;;Abu al-Mahasin;;;Arif Zainulasyiqin;;Old Banten;;Cirebon Sultanate, Demak Sultanate, Sunda Kingdom;Bantam Presidency, Bantam Residency, Batavia, Dutch East IndiesBatavia;1526.0;;http://www.wikidata.org/.well-known/genid/1de0d03f0e665e7aaf6d143b26b7c5d7;1750-01-01T00:00:00Z;Wasi Zainulalimin;;;http://www.wikidata.org/entity/Q57820133;0.004179698752537944;13;0.017186793457396026;13
Kesultanan Banten;Abu al-Ma'ali;;Abu al-Mafakhir;;;Tirtayasa dari Banten;;Old Banten;;Cirebon Sultanate, Demak Sultanate, Sunda Kingdom;Bantam Presidency, Bantam Residency, Batavia, Dutch East IndiesBatavia;1526.0;;http://www.wikidata.org/.well-known/genid/18c9b24f542db93a3c45cebe1db76186;1650-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q41799422;0.004524923821015477;13;0.017186793457396026;13
Kesultanan Aceh;Sultan Ali Riayat Syah;;Sultan Alauddin Riayat Syah;;;;;;;;;;;;1607-04-04T00:00:00Z;;;;http://www.wikidata.org/entity/Q17424988;0.003451271022446526;18;0.04448712404495881;18
Kesultanan Aceh;Alauddin al-Qahhar dari Aceh;;Ali Mughayat Syah dari Aceh;;;Husain Ali Riayat Syah dari Aceh;;Banda Aceh, Indrapuri, Aceh Besar;Sunni Islam;Lambri, Pasai, Pidie;Dutch East Indies;1496.0;;;1571-09-28T00:00:00Z;;;;http://www.wikidata.org/entity/Q4708856;0.006011792639446441;18;0.04448712404495881;18
Kesultanan Demak;Sunan Kudus;;Sunan Ngudung;;;;;;;;;;;;1550-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q5261519;0.0019840325587610046;8;0.004438479049294041;8
Kesultanan Aceh;Sultan Alauddin Johan Syah;;Sultan Alauddin Ahmad Syah;;;Sultan Alauddin Mahmud Syah I;;;;;;;;;1760-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q18204961;0.005072069940201014;18;0.04448712404495881;18
Kesultanan Aceh;Alauddin al-Qahhar dari Aceh;;Ali Mughayat Syah dari Aceh;;;Sri Alam dari Aceh;;Banda Aceh, Indrapuri, Aceh Besar;Sunni Islam;Lambri, Pasai, Pidie;Dutch East Indies;1496.0;;;1571-09-28T00:00:00Z;;;;http://www.wikidata.org/entity/Q4708856;0.006011792639446441;18;0.04448712404495881;18
Kerajaan Kubu;Elizabeth Carter;;Rev. Nicolas Carter;Margaret Swayne;;;;;;;;;;1717-12-16T00:00:00Z;1806-02-19T00:00:00Z;;;;http://www.wikidata.org/entity/Q4216193;0.0019840325587610046;14;0.00254626559081353;14
Kesultanan Aceh;Sri Alam dari Aceh;;Alauddin al-Qahhar dari Aceh;;;;;;;;;;;;1579-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q17318556;0.003260441502650986;18;0.04448712404495881;18
Kesultanan Aceh;Ali Mughayat Syah dari Aceh;;;;;Salahuddin dari Aceh;;Banda Aceh, Indrapuri, Aceh Besar;Sunni Islam;Lambri, Pasai, Pidie;Dutch East Indies;1496.0;;;1530-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q868350;0.004664501792349814;18;0.04448712404495881;18
Kesultanan Aceh;Iskandar Muda dari Aceh;;;;;Safiatuddin dari Aceh;;Banda Aceh, Indrapuri, Aceh Besar;Sunni Islam;Lambri, Pasai, Pidie;Dutch East Indies;1496.0;;1583-01-01T00:00:00Z;1636-12-27T00:00:00Z;;;;http://www.wikidata.org/entity/Q375774;0.003185805830116424;18;0.04448712404495881;18
Kesultanan Banten;Abu al-Mahasin;;Abu an-Nasr;;;Syifa Zainularifin;;Old Banten;;Cirebon Sultanate, Demak Sultanate, Sunda Kingdom;Bantam Presidency, Bantam Residency, Batavia, Dutch East IndiesBatavia;1526.0;;http://www.wikidata.org/.well-known/genid/776342bfdce90153563b8e112b3290de;1733-01-01T00:00:00Z;Abu al-Fadhl;;;http://www.wikidata.org/entity/Q57819481;0.006355000589380954;13;0.017186793457396026;13
Kesultanan Banten;Abu al-Mahasin;;Abu an-Nasr;;;Wasi Zainulalimin;;Old Banten;;Cirebon Sultanate, Demak Sultanate, Sunda Kingdom;Bantam Presidency, Bantam Residency, Batavia, Dutch East IndiesBatavia;1526.0;;http://www.wikidata.org/.well-known/genid/776342bfdce90153563b8e112b3290de;1733-01-01T00:00:00Z;Abu al-Fadhl;;;http://www.wikidata.org/entity/Q57819481;0.006355000589380954;13;0.017186793457396026;13
Kesultanan Aceh;Ali Mughayat Syah dari Aceh;;;;;Alauddin al-Qahhar dari Aceh;;Banda Aceh, Indrapuri, Aceh Besar;Sunni Islam;Lambri, Pasai, Pidie;Dutch East Indies;1496.0;;;1530-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q868350;0.004664501792349814;18;0.04448712404495881;18
